Subject Name:D:\adrian0706nast.txt
File Created: 08.06.2016 00:10:17 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
0,084	Moved	755	694
0,084	Moved	749	694
0,099	Moved	723	694
0,099	Moved	692	696
0,119	Moved	659	696
0,121	Moved	622	695
0,121	Moved	584	689
0,137	Moved	549	683
0,137	Moved	514	676
0,152	Moved	481	670
0,152	Moved	452	664
0,168	Moved	424	658
0,168	Moved	400	652
0,184	Moved	378	646
0,184	Moved	356	642
0,199	Moved	334	640
0,199	Moved	310	636
0,221	Moved	283	630
0,221	Moved	259	628
0,221	Moved	237	626
0,237	Moved	215	624
0,237	Moved	193	622
0,253	Moved	169	623
0,253	Moved	144	625
0,268	Moved	118	625
0,268	Moved	92	627
0,284	Moved	68	631
0,296	Moved	44	637
0,304	Moved	19	639
0,313	Moved	0	639
0,323	Moved	0	639
0,329	Moved	0	639
0,337	Moved	0	639
0,345	Moved	0	640
0,353	Moved	0	642
0,359	Moved	0	643
0,367	Moved	0	645
0,375	Moved	0	646
0,383	Moved	0	647
0,391	Moved	0	648
0,399	Moved	0	649
0,407	Moved	0	650
0,415	Moved	0	651
0,425	Moved	0	652
0,43	Moved	0	653
0,438	Moved	0	654
0,446	Moved	0	655
0,454	Moved	0	656
0,462	Moved	0	659
0,468	Moved	0	660
0,477	Moved	0	661
0,485	Moved	0	663
0,493	Moved	0	665
0,501	Moved	0	667
0,509	Moved	0	670
0,517	Moved	0	673
0,521	Moved	0	675
0,521	Moved	0	677
0,537	Moved	0	678
0,549	Moved	0	679
0,551	Pressed Left	0	680
0,721	Moved	0	680
0,737	Moved	0	681
0,753	Moved	2	684
0,753	Moved	7	687
0,768	Moved	14	693
0,768	Moved	20	698
0,784	Moved	27	704
0,784	Moved	34	709
0,8	Moved	45	716
0,8	Moved	59	725
0,815	Moved	77	735
0,823	Moved	99	743
0,831	Moved	125	751
0,839	Moved	154	757
0,847	Moved	182	761
0,855	Moved	217	768
0,863	Moved	254	774
0,871	Moved	283	782
0,879	Moved	309	796
0,887	Moved	327	812
0,941	Moved	336	820
1,027	Moved	336	821
1,035	Moved	336	819
1,043	Moved	336	817
1,051	Moved	336	814
